Frame Rate:,25.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.040,8.84620044849537,4.951633029513889,10.18117947048611,11.40578884548611
2,00:00:00.080,8.238597728587964,4.630316840277778,9.18918185763889,10.896294487847221
3,00:00:00.120,7.874918619791667,4.74755859375,7.931694878472222,10.945502387152779
4,00:00:00.160,6.474057798032407,3.586452907986111,6.677951388888889,9.157769097222221
5,00:00:00.200,6.702085141782407,2.9622667100694446,7.165445963541667,9.97854275173611
6,00:00:00.240,6.341091579861111,2.930881076388889,7.136311848958333,8.95608181423611
7,00:00:00.280,6.2585268373842595,2.6381022135416665,7.190049913194445,8.947428385416666
8,00:00:00.320,7.13011791087963,2.8529188368055554,8.470838758680555,10.066596137152779
9,00:00:00.360,6.994836877893519,3.146728515625,7.86474609375,9.973036024305555
10,00:00:00.400,8.43337673611111,3.4520399305555554,9.508355034722221,12.339735243055555
11,00:00:00.440,8.725830078125,3.220458984375,9.70608181423611,13.25094943576389
12,00:00:00.480,8.380172164351853,3.2412923177083335,9.11764865451389,12.781575520833334
13,00:00:00.520,8.29102466724537,3.495388454861111,8.949164496527779,12.428521050347221
14,00:00:00.560,6.276032624421295,2.2931586371527777,7.393907335069445,9.141031901041666
15,00:00:00.600,5.721733940972222,2.118869357638889,6.633382161458333,8.412950303819445
16,00:00:00.640,5.4395525896990735,2.292751736111111,6.103135850694445,7.922770182291667
17,00:00:00.680,4.689507378472222,1.8339029947916667,5.523003472222222,6.711615668402778
18,00:00:00.720,4.459192346643519,1.8345540364583333,4.992377387152778,6.550645616319445
19,00:00:00.760,4.254837601273148,2.4204644097222223,4.268337673611111,6.075710720486111
20,00:00:00.800,2.6983778211805554,1.13720703125,3.03515625,3.9227701822916665
21,00:00:00.840,1.817229094328704,1.23046875,1.4786783854166667,2.7425401475694446
22,00:00:00.880,1.0231119791666667,0.8640407986111112,0.6935763888888888,1.51171875
23,00:00:00.920,0.952392578125,0.877685546875,0.54638671875,1.43310546875
24,00:00:00.960,0.9081850405092592,0.9447428385416666,0.431396484375,1.3484157986111112
25,00:00:01.000,0.672580295138889,0.6550564236111112,0.3648546006944444,0.9978298611111112
26,00:00:01.040,0.5768862123842593,0.5910915798611112,0.3171657986111111,0.8224012586805556
27,00:00:01.080,0.7342936197916666,0.656982421875,0.4415147569444444,1.1043836805555556
28,00:00:01.120,0.7625868055555555,0.7423773871527778,0.4430609809027778,1.1023220486111112
29,00:00:01.160,0.7850206163194445,0.7358940972222222,0.2922092013888889,1.3269585503472223
30,00:00:01.200,0.5501663773148149,0.4911024305555556,0.2236870659722222,0.9357096354166666
31,00:00:01.240,0.6002694589120371,0.5284830729166666,0.3400336371527778,0.9322916666666666
32,00:00:01.280,1.3423665364583333,1.1287434895833333,0.8349609375,2.0633951822916665
33,00:00:01.320,1.2417805989583333,1.1477864583333333,0.8181423611111112,1.7594129774305556
34,00:00:01.360,1.0153718171296298,1.0527886284722223,0.513916015625,1.4794108072916667
35,00:00:01.400,0.7663664641203703,0.8815104166666666,0.3078070746527778,1.1097819010416667
36,00:00:01.440,0.6856463396990741,0.6705186631944444,0.2488335503472222,1.1375868055555556
37,00:00:01.480,0.8447717737268517,1.0560709635416667,0.3094346788194444,1.1688096788194444
38,00:00:01.520,0.6942455150462963,0.8576388888888888,0.2571614583333333,0.9679361979166666
39,00:00:01.560,0.4881456163194444,0.6787380642361112,0.13365342881944445,0.6520453559027778
40,00:00:01.600,0.485324435763889,0.5721028645833334,0.1333550347222222,0.7505154079861112
41,00:00:01.640,0.7436071325231483,0.8530815972222222,0.181640625,1.1960991753472223
42,00:00:01.680,0.4986707899305556,0.6102430555555556,0.10316297743055555,0.7826063368055556
43,00:00:01.720,0.5707917390046297,0.6871473524305556,0.13134765625,0.8938802083333334
44,00:00:01.760,0.3424117476851852,0.4708116319444444,0.07340494791666667,0.4830186631944444
45,00:00:01.800,0.5441351996527778,0.6841091579861112,0.117431640625,0.8308648003472222
46,00:00:01.840,0.2750379774305556,0.4042697482638889,0.0740017361111111,0.3468424479166667
47,00:00:01.880,0.7652000144675927,0.8073459201388888,0.2732747395833333,1.2149793836805556
48,00:00:01.920,0.7638255931712963,1.0220540364583333,0.15096028645833334,1.1184624565972223
49,00:00:01.960,0.19923683449074073,0.1613226996527778,0.06480577256944445,0.37158203125
50,00:00:02.000,0.4807581018518518,0.6132541232638888,0.1384819878472222,0.6905381944444444
51,00:00:02.040,0.37017144097222227,0.4042154947916667,0.11027018229166667,0.5960286458333334
52,00:00:02.080,0.7676956741898149,0.8781195746527778,0.15266927083333334,1.2722981770833333
53,00:00:02.120,0.4871871383101852,0.5770128038194444,0.10465494791666667,0.7798936631944444
54,00:00:02.160,0.5406358506944444,0.5967881944444444,0.12437608506944445,0.9007432725694444
55,00:00:02.200,0.5517849392361112,0.6146104600694444,0.10259331597222222,0.9381510416666666
56,00:00:02.240,0.6051522714120371,0.5833875868055556,0.16539171006944445,1.0666775173611112
57,00:00:02.280,0.9374457465277778,0.8829210069444444,0.19615342881944445,1.7332628038194444
58,00:00:02.320,0.630570023148148,0.6835123697916666,0.1354437934027778,1.07275390625
59,00:00:02.360,0.8027162905092592,0.8948838975694444,0.15489366319444445,1.3583713107638888
60,00:00:02.400,0.5531864872685186,0.6631673177083334,0.10942925347222222,0.886962890625
61,00:00:02.440,0.8029875578703703,0.8565809461805556,0.17439778645833334,1.3779839409722223
62,00:00:02.480,0.5599320023148148,0.6017523871527778,0.129150390625,0.9488932291666666
63,00:00:02.520,0.7094997829861112,0.6772732204861112,0.23426649305555555,1.2169596354166667
64,00:00:02.560,0.8238661024305557,1.0078667534722223,0.1687554253472222,1.2949761284722223
65,00:00:02.600,0.27031792534722227,0.3476291232638889,0.0776638454861111,0.3856608072916667
66,00:00:02.640,0.8511917679398148,0.9352484809027778,0.1874728732638889,1.4308539496527777
67,00:00:02.680,0.421730324074074,0.5251193576388888,0.1122775607638889,0.6277940538194444
68,00:00:02.720,0.5565321180555556,0.6709526909722222,0.1074490017361111,0.8911946614583334
69,00:00:02.760,0.4249403211805556,0.5944010416666666,0.07549370659722222,0.6049262152777778
70,00:00:02.800,0.445167824074074,0.5326877170138888,0.1078830295138889,0.6949327256944444
71,00:00:02.840,0.6700846354166666,0.7127549913194444,0.18001302083333334,1.1174858940972223
72,00:00:02.880,0.8472583912037037,0.9509548611111112,0.233154296875,1.357666015625
73,00:00:02.920,0.4466869212962963,0.4831814236111111,0.12025282118055555,0.7366265190972222
74,00:00:02.960,0.6939290364583334,0.7957085503472222,0.1455078125,1.1405707465277777
75,00:00:03.000,0.48482711226851855,0.5213487413194444,0.107421875,0.8257107204861112
76,00:00:03.040,0.462085865162037,0.4476996527777778,0.14485677083333334,0.793701171875
77,00:00:03.080,0.7903193721064815,0.8310818142361112,0.131591796875,1.4082845052083333
78,00:00:03.120,0.40510163483796297,0.3462999131944444,0.08287217881944445,0.7861328125
79,00:00:03.160,0.7544759114583334,0.7392306857638888,0.2052680121527778,1.3189290364583333
80,00:00:03.200,0.9425907841435185,0.9520670572916666,0.17567274305555555,1.7000325520833333
81,00:00:03.240,0.39138454861111116,0.3893229166666667,0.09998914930555555,0.6848415798611112
82,00:00:03.280,0.8176902488425926,0.8819173177083334,0.16102430555555555,1.4101291232638888
83,00:00:03.320,0.5373354311342593,0.663818359375,0.10484483506944445,0.8433430989583334
84,00:00:03.360,0.6292860243055556,0.8063693576388888,0.13319227430555555,0.9482964409722222
85,00:00:03.400,0.4583785445601852,0.5308159722222222,0.11558702256944445,0.7287326388888888
86,00:00:03.440,0.7915852864583334,0.8572319878472222,0.194091796875,1.3234320746527777
87,00:00:03.480,0.9006257233796297,1.2173665364583333,0.2294650607638889,1.2550455729166667
88,00:00:03.520,0.5870316116898148,0.6578776041666666,0.12098524305555555,0.9822319878472222
89,00:00:03.560,0.6479401765046297,0.7280002170138888,0.11322699652777778,1.1025933159722223
90,00:00:03.600,0.48080331307870366,0.6267361111111112,0.08504231770833333,0.7306315104166666
91,00:00:03.640,0.6442057291666666,0.7293836805555556,0.1569281684027778,1.0463053385416667
92,00:00:03.680,0.8885000723379629,0.8465983072916666,0.24058702256944445,1.5783148871527777
93,00:00:03.720,0.9002640335648148,0.9919976128472222,0.2336154513888889,1.4751790364583333
94,00:00:03.760,0.5388545283564815,0.5950792100694444,0.1239963107638889,0.8974880642361112
95,00:00:03.800,0.7814398871527777,0.7202962239583334,0.3172471788194444,1.3067762586805556
96,00:00:03.840,0.8815013744212963,0.8969184027777778,0.2206759982638889,1.5269097222222223
97,00:00:03.880,0.3152126736111111,0.30419921875,0.09190538194444445,0.5495334201388888
98,00:00:03.920,0.564498336226852,0.6323784722222222,0.1729058159722222,0.8882107204861112
99,00:00:03.960,0.5565773292824074,0.7965766059027778,0.10270182291666667,0.7704535590277778
100,00:00:04.000,0.3490035445601852,0.528564453125,0.06306966145833333,0.4553765190972222
101,00:00:04.040,0.5737395109953703,0.6685926649305556,0.10009765625,0.9525282118055556
102,00:00:04.080,0.37356228298611116,0.4458821614583333,0.07657877604166667,0.5982259114583334
103,00:00:04.120,0.4745279947916667,0.5852593315972222,0.08213975694444445,0.7561848958333334
104,00:00:04.160,0.5850061487268517,0.7079264322916666,0.09033203125,0.9567599826388888
105,00:00:04.200,0.34272822627314814,0.3296983506944444,0.06358506944444445,0.6349012586805556
106,00:00:04.240,0.47016963252314814,0.5310601128472222,0.09361436631944445,0.7858344184027778
107,00:00:04.280,0.6989836516203703,0.6879611545138888,0.10139973958333333,1.3075900607638888
108,00:00:04.320,0.36897786458333326,0.3545464409722222,0.06868489583333333,0.6837022569444444
109,00:00:04.360,0.49246780960648157,0.4596354166666667,0.07842339409722222,0.9393446180555556
110,00:00:04.400,0.4118561921296296,0.4596082899305556,0.06513129340277778,0.7108289930555556
111,00:00:04.440,0.7011176215277778,0.764404296875,0.22276475694444445,1.1161838107638888
112,00:00:04.480,0.6897605613425926,0.7418891059027778,0.1552191840277778,1.1721733940972223
113,00:00:04.520,0.2581470630787037,0.2571072048611111,0.071533203125,0.44580078125
114,00:00:04.560,0.4365053530092593,0.5228135850694444,0.11187065972222222,0.6748318142361112
115,00:00:04.600,0.2821994357638889,0.37060546875,0.06648763020833333,0.4095052083333333
116,00:00:04.640,0.39067925347222215,0.4217122395833333,0.0986056857638889,0.6517198350694444
117,00:00:04.680,0.7713849103009259,0.7331000434027778,0.11829969618055555,1.4627549913194444
118,00:00:04.720,0.38957609953703703,0.3650173611111111,0.088134765625,0.715576171875
119,00:00:04.760,0.6009295428240741,0.5539279513888888,0.11751302083333333,1.13134765625
120,00:00:04.800,0.6913519965277778,0.6869032118055556,0.12440321180555555,1.2627495659722223
121,00:00:04.840,0.5007143373842593,0.4670138888888889,0.09632703993055555,0.9388020833333334
122,00:00:04.880,0.8410282841435186,0.8223741319444444,0.0891384548611111,1.611572265625
123,00:00:04.920,0.4027506510416667,0.4293619791666667,0.0632595486111111,0.7156304253472222
124,00:00:04.960,0.56689453125,0.5746799045138888,0.07212999131944445,1.0538736979166667
125,00:00:05.000,0.3694480613425926,0.4578721788194444,0.08770073784722222,0.5627712673611112
126,00:00:05.040,0.5950249565972222,0.6891276041666666,0.1259494357638889,0.9699978298611112
127,00:00:05.080,0.4937156394675926,0.5927463107638888,0.12296549479166667,0.7654351128472222
128,00:00:05.120,6.363462094907407,6.800347222222222,2.893310546875,9.396728515625
129,00:00:05.160,0.8362178096064815,0.8653157552083334,0.2697482638888889,1.3735894097222223
130,00:00:05.200,0.5704029224537036,0.6705186631944444,0.12972005208333334,0.9109700520833334
131,00:00:05.240,0.5174153645833334,0.5828993055555556,0.09749348958333333,0.8718532986111112
132,00:00:05.280,0.6530400028935185,0.6925726996527778,0.10685221354166667,1.1596950954861112
133,00:00:05.320,0.4530345775462963,0.5416666666666666,0.07066514756944445,0.7467719184027778
134,00:00:05.360,0.7553891782407406,1.0291341145833333,0.1459689670138889,1.091064453125
135,00:00:05.400,0.5784414785879629,0.7855631510416666,0.09673394097222222,0.85302734375
136,00:00:05.440,0.9609646267361112,0.9796549479166666,0.1831325954861111,1.7201063368055556
137,00:00:05.480,0.6299370659722222,0.7721354166666666,0.1203884548611111,0.9972873263888888
138,00:00:05.520,0.7342936197916666,0.8268229166666666,0.1480034722222222,1.2280544704861112
139,00:00:05.560,0.49614800347222227,0.5910101996527778,0.09578450520833333,0.8016493055555556
140,00:00:05.600,0.6497576678240741,0.702880859375,0.1274142795138889,1.1189778645833333
141,00:00:05.640,0.6606535734953703,0.7334255642361112,0.11659071180555555,1.1319444444444444
142,00:00:05.680,0.5475531684027778,0.6866048177083334,0.086669921875,0.869384765625
143,00:00:05.720,0.7151692708333334,0.7415364583333334,0.1808539496527778,1.2231174045138888
144,00:00:05.760,0.8188205295138888,0.983154296875,0.14591471354166666,1.327392578125
145,00:00:05.800,0.5576262297453703,0.5813530815972222,0.07343207465277778,1.0180935329861112
146,00:00:05.840,0.6269440827546297,0.6719292534722222,0.12196180555555555,1.0869411892361112
147,00:00:05.880,1.1123679832175926,1.1972927517361112,0.16064453125,1.9791666666666667
148,00:00:05.920,0.4057526765046296,0.4785970052083333,0.07763671875,0.6610243055555556
149,00:00:05.960,0.758345992476852,0.8483615451388888,0.08824327256944445,1.3384331597222223
150,00:00:06.000,0.46477141203703703,0.5566677517361112,0.0641818576388889,0.7734646267361112
151,00:00:06.040,0.6015172887731481,0.6178927951388888,0.1081271701388889,1.0785319010416667
152,00:00:06.080,0.9109067563657406,1.03857421875,0.1376681857638889,1.5564778645833333
153,00:00:06.120,0.3342194733796296,0.3103569878472222,0.05788845486111111,0.6344129774305556
154,00:00:06.160,0.6565212673611112,0.7145182291666666,0.142578125,1.1124674479166667
155,00:00:06.200,0.47298177083333326,0.6116265190972222,0.07210286458333333,0.7352159288194444
156,00:00:06.240,0.48979130497685186,0.5350206163194444,0.07036675347222222,0.8639865451388888
157,00:00:06.280,0.488941333912037,0.6158311631944444,0.06453450520833333,0.7864583333333334
158,00:00:06.320,0.32271773726851855,0.3598361545138889,0.050374348958333336,0.5579427083333334
159,00:00:06.360,0.3755967881944445,0.3536783854166667,0.0705837673611111,0.7025282118055556
160,00:00:06.400,0.4779188368055556,0.5223253038194444,0.07313368055555555,0.8382975260416666
161,00:00:06.440,0.20213939525462965,0.1885036892361111,0.036187065972222224,0.3817274305555556
162,00:00:06.480,0.3907425491898148,0.2976616753472222,0.18701171875,0.6875542534722222
163,00:00:06.520,0.9264503761574074,0.6553005642361112,0.7874348958333334,1.3366156684027777
164,00:00:06.560,7.153148509837962,2.855740017361111,7.132215711805555,11.471489800347221
165,00:00:06.600,11.819779007523147,7.125759548611111,10.238444010416666,18.095133463541668
166,00:00:06.640,10.742730034722221,3.6113823784722223,10.857286241319445,17.759521484375
167,00:00:06.680,8.298954716435185,1.8922797309027777,9.525444878472221,13.479139539930555
168,00:00:06.720,5.711154513888889,1.4359537760416667,6.672037760416667,9.025472005208334
169,00:00:06.760,5.852909794560184,1.0414225260416667,6.980034722222222,9.537272135416666
170,00:00:06.800,5.707194010416667,1.2802463107638888,7.053738064236111,8.78759765625
171,00:00:06.840,6.017541956018519,1.4202473958333333,7.412082248263889,9.220296223958334
172,00:00:06.880,6.553521050347222,1.5727267795138888,8.30832248263889,9.77951388888889
173,00:00:06.920,6.366174768518519,2.0171983506944446,7.737169053819445,9.344156901041666
174,00:00:06.960,7.2920102719907405,1.8111707899305556,9.045952690972221,11.018907335069445
